id,name,lat,lon
298,eZ Cash Communication,7.081558,80.652351
299,eZ Cash Communication,7.256476,80.687671
300,eZ Cash Communication,7.274228,80.689559
301,eZ Cash Communication,7.324969,80.585232
302,eZ Cash Communication,7.419496,80.328341
303,eZ Cash Communication,7.515651,80.489681
304,eZ Cash Communication,7.450603,80.518155
305,eZ Cash Communication,7.432986,80.446272
306,eZ Cash Communication,7.491601,80.513799
307,eZ Cash Communication,7.619293,80.2459
308,eZ Cash Communication,7.525064,80.327804
309,eZ Cash Communication,7.499791,80.348854
310,eZ Cash Communication,7.420049,80.468094
311,eZ Cash Communication,7.432071,80.448031
312,eZ Cash Communication,7.594515,80.479939
313,eZ Cash Communication,7.612359,80.179768
314,eZ Cash Communication,7.476177,80.334327
315,eZ Cash Communication,7.475602,80.387542
316,eZ Cash Communication,7.417027,80.466506
317,eZ Cash Communication,7.61606,80.48584
318,eZ Cash Communication,7.545316,80.308235
319,eZ Cash Communication,7.64492,80.50895
320,eZ Cash Communication,7.535254,80.48039
321,eZ Cash Communication,7.622334,80.489295
322,eZ Cash Communication,7.50477,80.346472
323,eZ Cash Communication,7.372756,80.524035
324,eZ Cash Communication,7.618527,80.206869
325,eZ Cash Communication,7.458177,80.419793
326,eZ Cash Communication,7.538743,80.440071
327,eZ Cash Communication,7.415368,80.365891
328,eZ Cash Communication,7.599683,80.13638
329,eZ Cash Communication,7.375256,80.393271
330,eZ Cash Communication,7.433943,80.334735
331,eZ Cash Communication,7.550208,80.130329
332,eZ Cash Communication,7.425943,80.213199
333,eZ Cash Communication,7.619591,80.281777
334,eZ Cash Communication,7.305899,80.237231
335,eZ Cash Communication,7.549017,79.982872
336,eZ Cash Communication,7.308538,80.202727
337,eZ Cash Communication,7.638795,80.495195
338,eZ Cash Communication,7.556887,80.511847
339,eZ Cash Communication,7.46956,80.026281
340,eZ Cash Communication,7.460858,80.028126
341,eZ Cash Communication,7.46872,80.037836
342,eZ Cash Communication,7.604745,80.076149
343,eZ Cash Communication,7.536913,80.430951
344,eZ Cash Communication,7.569097,80.029907
345,eZ Cash Communication,7.599513,80.148697
346,eZ Cash Communication,7.35721,80.142131
347,eZ Cash Communication,7.34574,80.134084
348,eZ Cash Communication,7.406558,80.155392
349,eZ Cash Communication,7.304622,80.214229
350,eZ Cash Communication,7.809899,80.404129
351,eZ Cash Communication,8.487992,80.508971
352,eZ Cash Communication,7.576839,80.446272
